,PRODUCT_ID,PRODUCT_NAME,PRICE,URL_LINK,ITEM_IMG,DETAIL_IMG
0,1,B7 약산성 탈모 샴푸 2+1 / 1000ml+1000ml+250ml+추가할인쿠폰,"28,900",http://item.gmarket.co.kr/Item?goodscode=1661739739,http://gdimg.gmarket.co.kr/1661739739/still/600?ver=1686790935,https://gi.esmplus.com/cossnp/2_0_%EB%B2%84%EC%A0%84/%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%EC%8A%A4%ED%86%A0%EB%A6%AC/%EA%B7%B8%EB%A3%B9%EC%9D%B4%EB%AF%B8%EC%A7%80/%ED%8F%AC%EB%A0%88_%EC%A7%80_%EC%BF%A0%ED%8F%B0.jpg
1,2,오로라 LPP 트리트먼트 헤어팩 1000ml 1+1 총2000m,"17,010",http://item.gmarket.co.kr/Item?goodscode=226252659,http://gdimg.gmarket.co.kr/226252659/still/600?ver=1641270678,https://ai.esmplus.com/mscare/00.jpg
2,3,에트투스 트리트먼트 헤어팩 1000ml/아르간 헤어팩,"12,900",http://item.gmarket.co.kr/Item?goodscode=239054767,http://gdimg.gmarket.co.kr/239054767/still/600?ver=1681950194,http://ai.esmplus.com/gded/b/o/20221017/16/1665992936218c3cabcc.jpg
3,4,헤드앤숄더 가려운 두피케어 샴푸 850ml 3개,"30,900",http://item.gmarket.co.kr/Item?goodscode=1896210962,http://gdimg.gmarket.co.kr/1896210962/still/600?ver=1685930922,http://ai.esmplus.com/gded/k/a/20230605/10/1685929622245654e95f.jpg
4,5,로리니크 L04 전문가용 단백질 헤어영양크림 1개,"13,500",http://item.gmarket.co.kr/Item?goodscode=941013630,http://gdimg.gmarket.co.kr/941013630/still/600?ver=1615737413,https://gi.esmplus.com/eunboni/official.jpg
5,6,(로레알) 프리미엄 염색약/국민헤어팩 외 Best상품 쿠폰+사은품증정(쿠폰적용가 14850원),"16,500",http://item.gmarket.co.kr/Item?goodscode=2248227891,http://gdimg.gmarket.co.kr/2248227891/still/600?ver=1685068878,http://honcompany.godohosting.com/notice/holiday notice_1000.jpg
6,7,케라시스 퍼퓸 체리블라썸 샴푸 1L X3개,"20,900",http://item.gmarket.co.kr/Item?goodscode=2536113679,http://gdimg.gmarket.co.kr/2536113679/still/600?ver=1660011468,http://ai.esmplus.com/auction_ag407/%EC%BC%80%EB%9D%BC%EC%8B%9C%EC%8A%A4%20%EC%B2%B4%EB%A6%AC%EB%B8%94%EB%9D%BC%EC%8D%B8%201L%20%EC%83%B4%ED%91%B8%EB%A6%B0%EC%8A%A4_200511/%EC%B2%B4%EB%A6%AC%EB%B8%94%EB%9F%AC%EC%8D%B8_01.jpg
7,8,팬틴 극손상케어 트리트먼트 220ml 3개,"15,180",http://item.gmarket.co.kr/Item?goodscode=1481496576,http://gdimg.gmarket.co.kr/1481496576/still/600?ver=1684740969,https://gi.esmplus.com/pgshop1/2011-chusuk.jpg
8,9,아르간 오일 헤어에센스 120ml x 2개+추가할인쿠폰 / 헤어오일,"16,900",http://item.gmarket.co.kr/Item?goodscode=253636348,http://gdimg.gmarket.co.kr/253636348/still/600?ver=1686791170,https://gi.esmplus.com/cossnp/2_0_%EB%B2%84%EC%A0%84/%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%EC%8A%A4%ED%86%A0%EB%A6%AC/%EA%B7%B8%EB%A3%B9%EC%9D%B4%EB%AF%B8%EC%A7%80/%ED%8F%AC%EB%A0%88_%EC%A7%80_%EC%BF%A0%ED%8F%B0.jpg
9,10,1+1 아모스 컬링 에센스 2X 150ml 당일발송 무료배송,"18,500",http://item.gmarket.co.kr/Item?goodscode=1833766346,http://gdimg.gmarket.co.kr/1833766346/still/600?ver=1681262591,http://ai.esmplus.com/gded/v/e/20230405/12/16806636656888965bf9.jpg
10,11,더프리미엄 210mlx4 +증정)컬링에센스120ml/쿠폰가29900원,"32,500",http://item.gmarket.co.kr/Item?goodscode=2154346666,http://gdimg.gmarket.co.kr/2154346666/still/600?ver=1685687251,https://gi.esmplus.com/prn2018/%EC%A7%80%EB%A7%88%EC%BC%93/%EC%82%AC%EC%9D%80%ED%92%88%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg
11,12,려 흑운 모근강화볼륨케어 샴푸 550ml x 3개,"21,900",http://item.gmarket.co.kr/Item?goodscode=2164637301,http://gdimg.gmarket.co.kr/2164637301/still/600?ver=1669336595,https://ai.esmplus.com/auction_ag416/%EB%A0%A4/%EB%A0%A4%20%ED%9D%91%EC%9A%B4%20%EB%AA%A8%EA%B7%BC%EA%B0%95%ED%99%94&%EB%B3%BC%EB%A5%A8%EC%BC%80%EC%96%B4%20%EC%83%B4%ED%91%B8%20550ml/20230120/%EB%A0%A4_%ED%9D%91%EC%9A%B4%EC%83%B4%ED%91%B8_01.jpg
12,13,아르간오일 100ml 1+1+1/헤어에센스/헤어오일,"15,900",http://item.gmarket.co.kr/Item?goodscode=830373720,http://gdimg.gmarket.co.kr/830373720/still/600?ver=1683100500,https://gi.esmplus.com/bscosmetic/R3%20%EB%A6%AC%EB%89%B4%EC%96%BC/01.jpg
13,14,헤드앤숄더 퍼퓸 프레쉬 샴푸 750ml 4개,"37,800",http://item.gmarket.co.kr/Item?goodscode=1896203490,http://gdimg.gmarket.co.kr/1896203490/still/600?ver=1685930891,http://ai.esmplus.com/gded/k/a/20230605/10/168592972492743ad481.jpg
