,index,product_name,review_content,reviewer_id,recommend_grade
0,0,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,sy4***,5
1,1,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,is9***,5
2,2,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,보통 입니다. 배송이 빠릅니다.,cms*****,1
3,3,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,k#0*******,5
4,4,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,kkw******,5
5,5,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,배송빠르고 좋아요,dum*****,5
6,6,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,smh**,5
7,7,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,skk***,5
8,8,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,mab***,5
9,9,[다온샵](무료반품+쿠적가:13430) 쿨버전 7년 베스트팬츠 1위 스판청바지 플리츄 일자데님(숏롱ver)빅사이즈,적극추천 합니다. 배송이 빠릅니다.,jej***,5
10,10,(1+1 2박스) 친환경섬유 인견 노라인 팬티 4매입_FWP710 맥시타입/무료반품,적극추천 합니다. 배송이 빠릅니다.,qqo***,5
